Doctor ID,Name,Specialization,Experience (Years),Rating,City,State
DOC068,Dr. Laura Smith,Neurology,4,5,New York,NY
DOC069,Dr. Jane Johnson,Cardiology,4,2.5,Houston,TX
DOC070,Dr. John Johnson,Pediatrics,10,2,Philadelphia,PA
DOC071,Dr. Emily Brown,Cardiology,31,1.5,San Antonio,TX
DOC072,Dr. Jane Brown,Pediatrics,37,3.6,Houston,TX
DOC073,Dr. Emily Jones,Psychiatry,6,3.3,Chicago,IL
DOC074,Dr. Jane Davis,Orthopedics,34,3.4,Los Angeles,CA
DOC075,Dr. Michael Davis,Cardiology,10,2.5,Chicago,IL
DOC076,Dr. Alex Miller,Neurology,30,2.7,San Antonio,TX
DOC077,Dr. Michael Davis,Surgery,6,1.8,New York,NY
DOC078,Dr. Alex Brown,Orthopedics,40,3.2,Houston,TX
DOC079,Dr. David Williams,Psychiatry,30,2.1,Chicago,IL
DOC080,Dr. Emily Williams,Neurology,15,1.5,Los Angeles,CA
DOC081,Dr. Laura Garcia,Radiology,11,1.4,Chicago,IL
DOC082,Dr. John Smith,Neurology,10,2.9,Philadelphia,PA
DOC083,Dr. Michael Davis,Cardiology,2,4.9,San Antonio,TX
DOC084,Dr. Jane Jones,Pediatrics,10,3.3,Los Angeles,CA
DOC085,Dr. Alex Garcia,Cardiology,16,3.2,Chicago,IL
DOC086,Dr. Jane Williams,Surgery,20,3.4,Philadelphia,PA
DOC087,Dr. John Jones,Orthopedics,33,2.2,New York,NY
DOC088,Dr. Sarah Miller,Radiology,36,5,San Antonio,TX
DOC089,Dr. Emily Johnson,Psychiatry,5,3.4,Los Angeles,CA
DOC090,Dr. Jane Miller,Dermatology,7,3.5,San Diego,CA
DOC091,Dr. Laura Davis,Cardiology,6,2.4,San Diego,CA
DOC092,Dr. Sarah Jones,Pediatrics,20,4.2,San Antonio,TX
DOC093,Dr. Jane Davis,Cardiology,15,1.2,Houston,TX
DOC094,Dr. Emily Brown,Neurology,25,3.1,Philadelphia,PA
DOC095,Dr. Alex Brown,Cardiology,31,2,San Antonio,TX
DOC096,Dr. Michael Brown,Cardiology,17,1.8,Houston,TX
DOC097,Dr. David Garcia,Radiology,22,2,New York,NY
DOC098,Dr. Laura Miller,Orthopedics,30,3.7,San Antonio,TX
DOC099,Dr. John Garcia,Radiology,22,1.5,Chicago,IL
DOC100,Dr. Jane Williams,Dermatology,14,3.5,Houston,TX
